CGDID	A19ID	GeneName
C1_07490C_A	orf19.2796	
C1_07500C_A	orf19.2795	LHP1
C1_07510W_A	orf19.2794	
C1_07520C_A	orf19.2792	IST2
C1_07530W_A	orf19.2800	
C1_07540C_A	orf19.2791	BBC1
C1_07550W_A	orf19.2790	SWD2
C1_07560W_A	orf19.2789	
C1_07570C_A	orf19.2788	
C1_07580C_A	orf19.2787	PRY1
C1_07590C_A	orf19.2786	
C1_07600W_A	orf19.2785	ATP7
C1_07610C_A	orf19.2784	
C1_07620C_A	orf19.2783	PIR32
C1_07630W_A	orf19.2782	
C1_07640C_A	orf19.2781	
C1_07650W_A	orf19.2779	
C1_07660W_A	orf19.2778	
C1_07670W_A	orf19.1227	ZCF4
C1_07680W_A	orf19.1228	HAP2
C1_07690C_A	orf19.1229	
C1_07700C_A	orf19.1232	VRG4
C1_07710C_A	orf19.1233	ADE4
C1_07770W_A	orf19.4712	FGR6-3
C1_07780W_A	orf19.4713	
C1_07790C_A	orf19.5049	
C1_07800W_A	orf19.5050	MTO1
C1_07810C_A	orf19.5051	
C1_07820W_A	orf19.5052	
C1_07830C_A	orf19.5053	
C1_07840W_A	orf19.5054	
C1_07850C_A	orf19.5056	
C1_07860W_A	orf19.5057	
C1_07870C_A	orf19.5058	SMI1
C1_07880C_A	orf19.5059	GCS1
C1_07890C_A	orf19.5061	ADE5%2C7
C1_07900W_A	orf19.5063	COI1
C1_07910C_A	orf19.5064	MRPL3
C1_07920W_A	orf19.5064.1	
C1_07930C_A	orf19.5065	ERD1
C1_07940W_A	snR67	
C1_07950C_A	orf19.5066	
C1_07960W_A	orf19.5067	
C1_07970C_A	orf19.5068	IRE1
C1_07980C_A	orf19.5069	
C1_07990C_A	orf19.5070	
C1_08000W_A	orf19.5071	NRP1
C1_08010W_A	orf19.5073	DPM1
C1_08020W_A	orf19.5074	UBA2
C1_08030W_A	orf19.5076	PFY1
C1_08040W_A	orf19.5076.1	
C1_08050W_A	orf19.5077	
C1_08060W_A	orf19.5078	OFR1
C1_08070W_A	orf19.5079	CDR4
C1_08080C_A	orf19.5079.1	
C1_08090C_A	orf19.5081	FUN12
C1_08100W_A	orf19.5083	DRG1
C1_08110W_A	orf19.5085	
C1_08120W_A	orf19.5087	BUD6
C1_08130C_A	orf19.5089	TERT
C1_08140W_A	orf19.5090	
C1_08150C_A	orf19.5092	
C1_08160W_A	orf19.5093	
C1_08170C_A	orf19.5094	BUL1
C1_08180C_A	orf19.5095	
C1_08190C_A	orf19.5097	CAT8
C1_08200W_A	orf19.5098	NTG1
C1_08210C_A	orf19.5100	MLT1
C1_08220W_A	orf19.5101	CCR4
C1_08230C_A	orf19.5102	PLB5
C1_08240C_A	orf19.5103	
C1_08260C_A	orf19.5104	LTP1
C1_08270C_A	orf19.5105	MED15
C1_08290C_A	orf19.5106	DIP2
C1_08300W_A	orf19.5107	NOT5
C1_08310W_A	orf19.5110	OPY2
C1_08320W_A	orf19.5112	TKL1
C1_08330C_A	orf19.5113	ADH2
C1_08340C_A	orf19.5114	
C1_08350C_A	orf19.5114.1	
C1_08360C_A	orf19.5117	OLE1
C1_08370W_A	orf19.5118	SDS24
C1_08380W_A	orf19.382	TEF2
C1_08390C_A	orf19.384	
C1_08400C_A	orf19.385	GCV2
C1_08410C_A	orf19.386	SAM4
C1_08420W_A	orf19.387	GCR3
C1_08430W_A	orf19.388	CAF16
C1_08440C_A	orf19.389	
C1_08450C_A	orf19.390	CDC42
C1_08460C_A	orf19.391	UPC2
C1_08470W_A	orf19.392	
C1_08480C_A	orf19.393	APS3
C1_08490W_A	orf19.394	
C1_08500C_A	orf19.395	ENO1
C1_08510W_A	orf19.396	EAF6
C1_08520C_A	orf19.397	
C1_08530W_A	orf19.398	
C1_08540C_A	orf19.399	
C1_08550C_A	orf19.400	GCF1
C1_08560W_A	orf19.401	TCP1
C1_08570C_A	orf19.403	PCL2
C1_08580C_A	orf19.405	VCX1
C1_08590C_A	orf19.406	ERG1
C1_08600C_A	orf19.407	GCD6
C1_08610C_A	orf19.409	
C1_08620W_A	orf19.4720	CTR2
C1_08630W_A	orf19.4721	
C1_08640W_A	orf19.4722	RTG1
C1_08650C_A	orf19.4723	FAD1
C1_08660C_A	orf19.4724	
C1_08670W_A	orf19.4725	SWI6
C1_08680C_A	orf19.4726	
C1_08690W_A	orf19.4727	
C1_08700W_A	orf19.4728	
C1_08710W_A	orf19.4730	
C1_08730W_A	orf19.4731	
C1_08740C_A	orf19.4732	SEC24
C1_08750W_A	orf19.4733	YMC2
C1_08760W_A	orf19.4734	
C1_08770W_A	orf19.4735	
C1_08780W_A	orf19.4736	
C1_08790W_A	orf19.4737	TPO3
C1_08800W_A	orf19.4738	
C1_08810C_A	orf19.4739	MSS116
C1_08820C_A	orf19.4740	
C1_08830C_A	orf19.4741	
C1_08840W_A	orf19.4742	
C1_08850C_A	orf19.4743	AFG1
C1_08860C_A	orf19.4744	
C1_08870C_A	orf19.4746	JIP5
C1_08880W_A	orf19.4747	HEM14
C1_08890C_A	orf19.4748	
C1_08900W_A	orf19.4749	
C1_08910C_A	orf19.4750	
C1_08920W_A	orf19.4751	
C1_08930C_A	orf19.4751.1	
C1_08940C_A	orf19.4752	MSN4
C1_08950W_A	orf19.4753	PFK26
C1_08960W_A	snR190	
C1_08970W_A	snR128	
C1_08980C_A	orf19.4754	ZWF1
C1_08990C_A	orf19.4755	KEX2
C1_09000W_A	orf19.4756	
C1_09010W_A	orf19.4757	NAR1
C1_09020W_A	orf19.4758	
C1_09030C_A	orf19.4759	COX5
C1_09040C_A	orf19.4760	
C1_09050W_A	orf19.4761	HST1
C1_09060C_A	orf19.4763	
C1_09070W_A	orf19.4764	
C1_09080C_A	orf19.4765	PGA6
C1_09090C_A	orf19.4766	ARG81
C1_09100W_A	orf19.4767	ZCF28
C1_09110W_A	orf19.4768	
C1_09120W_A	orf19.4769	IPT1
C1_09130W_A	orf19.4771	MNN47
C1_09140C_A	orf19.4772	SSU81
C1_09150W_A	orf19.4773	AOX2
C1_09160W_A	orf19.4774	AOX1
C1_09170W_A	orf19.4775	CTA8
C1_09180W_A	orf19.4776	LYS143
C1_09190C_A	orf19.4777	DAK2
C1_09200W_A	orf19.4778	LYS142
C1_09210C_A	orf19.4779	
C1_09220W_A	orf19.4780	
C1_09230C_A	orf19.4781	GRP1
C1_09240C_A	orf19.4783	
C1_09250W_A	orf19.4784	CRP1
C1_09260C_A	orf19.4785	PTC1
C1_09270W_A	orf19.4786	FGR43
C1_09280W_A	orf19.4787	
C1_09290C_A	orf19.4788	ARG5%2C6
C1_09300C_A	orf19.4789	
C1_09310C_A	orf19.4791	
C1_09320C_A	orf19.4792	
C1_09330W_A	orf19.4793	
C1_09340C_A	orf19.4795	
C1_09350W_A	orf19.4796	
C1_09360C_A	orf19.4798	
C1_09370W_A	orf19.4799	CEF1
C1_09380W_A	orf19.4800	RIM20
C1_09390W_A	orf19.4801	
C1_09400C_A	orf19.4802	FTH1
C1_09410W_A	orf19.4803	
C1_09420W_A	orf19.4804	LIP2
C1_09430W_A	orf19.4805	
C1_09440W_A	orf19.4807	
C1_09450C_A	orf19.4808	NUP188
C1_09460W_A	orf19.4809	ERG12
C1_09470C_A	orf19.4811	
C1_09480W_A	orf19.4812	PPT2
C1_09490C_A	orf19.4813	GUA1
C1_09500W_A	orf19.4814	
C1_09510W_A	orf19.4815	YTM1
C1_09520C_A	orf19.4816	
C1_09530W_A	orf19.4817	RAM2
C1_09540W_A	orf19.4818	
C1_09550W_A	orf19.4819	
C1_09560C_A	snR31a	
C1_09570W_A	orf19.4820	
C1_09580C_A	orf19.4821	LIP1
C1_09590C_A	orf19.4822	LIP10
C1_09600C_A	orf19.4823	LIP6
C1_09610W_A	orf19.4824	
C1_09620C_A	orf19.4825	
C1_09630W_A	orf19.4826	IDH1
C1_09640W_A	orf19.4827	ADE12
C1_09650W_A	orf19.4828	
C1_09660W_A	orf19.4829	DOA1
C1_09670C_A	orf19.4830	
C1_09680W_A	orf19.4831	MTS1
C1_09690W_A	orf19.4833	MLS1
C1_09700W_A	orf19.4834	
C1_09710C_A	orf19.4835	
C1_09720W_A	orf19.4836	URA1
C1_09730W_A	orf19.4837	DAM1
C1_09740C_A	orf19.4837.1	
C1_09750W_A	orf19.4839	
C1_09760C_A	orf19.4841	SHY1
C1_09770W_A	orf19.4842	
C1_09780C_A	orf19.4843	
C1_09790C_A	orf19.4844	
C1_09800C_A	orf19.4845	TVP18
C1_09810W_A	orf19.4846	
C1_09820C_A	orf19.4847	
C1_09830W_A	orf19.4848	SKI3
C1_09840C_A	orf19.4849	
C1_09850C_A	orf19.4850	
C1_09860C_A	orf19.4851	TFA1
C1_09870W_A	orf19.4853	HCM1
C1_09880C_A	orf19.4855	BUD31
C1_09890C_A	tS(CGA)1	tS(CGA)1
C1_09900W_A	orf19.4856	LIP3
C1_09910C_A	orf19.4857	
C1_09920W_A	orf19.4858	VPS41
C1_09930W_A	orf19.4861	
C1_09940W_A	orf19.4861.1	
C1_09950C_A	orf19.4862	
C1_09960W_A	orf19.4862.2	PET100
C1_09970C_A	orf19.4863	PDC2
C1_09980C_A	orf19.4864	
C1_09990W_A	orf19.4865	SAC1
C1_10000C_A	orf19.4866	CPP1
C1_10010C_A	orf19.4867	SWE1
C1_10020W_A	orf19.4869	SFU1
C1_10030W_A	orf19.4870	DBP3
C1_10040W_A	orf19.4871	ERO1
C1_10050W_A	orf19.4872	
C1_10060C_A	orf19.4873	
C1_10070C_A	orf19.4874	MNN23
C1_10080W_A	orf19.4875	
C1_10090C_A	orf19.4878	
C1_10100C_A	orf19.4879.2	NTF2
C1_10110W_A	orf19.4880	
C1_10120C_A	orf19.4882	
C1_10130W_A	snR10a	
C1_10140C_A	orf19.4883	
C1_10150W_A	orf19.4884	WOR1
C1_10160W_A	orf19.4885	MIR1
C1_10170W_A	orf19.4886	
C1_10180C_A	orf19.4887	ECM21
C1_10190W_A	orf19.4888	
C1_10200C_A	orf19.4889	
C1_10210C_A	orf19.4890	CLA4
C1_10220C_A	orf19.4892	TPK1
C1_10230C_A	orf19.4893	
C1_10240C_A	orf19.4894	
C1_10250C_A	orf19.4895	
C1_10260C_A	orf19.4896	RPA34
C1_10270C_A	orf19.4897	SFH5
C1_10280C_A	orf19.4898	
C1_10290W_A	orf19.4899	GCA1
C1_10300W_A	orf19.4900	MNN12
C1_10310W_A	orf19.4901	
C1_10320W_A	orf19.4903	
C1_10330C_A	orf19.4904	
C1_10340W_A	orf19.4905	
C1_10350C_A	orf19.4906	
C1_10360C_A	orf19.4907	
C1_10370W_A	orf19.4908	
C1_10380C_A	orf19.4909	CBK1
C1_10390C_A	orf19.4909.1	RPL42
C1_10400C_A	orf19.4910	FGR41
C1_10410W_A	orf19.4911	
C1_10420C_A	orf19.4912	
C1_10430W_A	orf19.984	PHO8
C1_10440W_A	orf19.985	
C1_10450W_A	orf19.986	GLY1
C1_10460W_A	orf19.988	
C1_10470W_A	orf19.989	
C1_10480W_A	orf19.991	DJP1
C1_10490W_A	orf19.992	LKH1
C1_10500W_A	orf19.993	
C1_10510W_A	orf19.994	
C1_10520W_A	orf19.996	
C1_10530W_A	orf19.997	SNL1
C1_10540C_A	orf19.998	
C1_10550C_A	orf19.999	GCA2
C1_10560C_A	orf19.1002	
C1_10570C_A	orf19.1005	
C1_10580C_A	orf19.1830	
C1_10590W_A	snR62	
C1_10600C_A	orf19.1831	
C1_10610W_A	orf19.1832	FCY23
C1_10620W_A	orf19.1833	
C1_10630C_A	orf19.1834	
C1_10640C_A	orf19.1835	PEA2
C1_10650W_A	orf19.1836	APN2
C1_10660W_A	orf19.1837	TBP1
C1_10670C_A	orf19.1839	RPA190
C1_10680C_A	orf19.1840	
C1_10690W_A	orf19.2352	
C1_10700C_A	orf19.2351	NIT3
C1_10710C_A	orf19.2350	
C1_10720C_A	orf19.2347	MNN2
C1_10730W_A	orf19.2346	
C1_10740C_A	orf19.2344	ASR1
C1_10750C_A	orf19.2343.1	
C1_10760W_A	orf19.2343	VPS23
C1_10770W_A	orf19.2342	SFT2
C1_10780C_A	orf19.2341	HNT1
C1_10790W_A	orf19.2340	CDC48
C1_10800C_A	orf19.2337	ALP1
C1_10810W_A	orf19.2336	
C1_10820C_A	orf19.2335	
C1_10830W_A	orf19.2334	BIG1
C1_10840C_A	orf19.2333	
C1_10850W_A	orf19.2332	
C1_10860C_A	orf19.2331	ADA2
C1_10870W_A	orf19.2329.1	RPS17B
C1_10880W_A	orf19.2330	
C1_10890C_A	orf19.2328	
C1_10900C_A	tI(UAU)1	tI(UAU)1
C1_10910C_A	orf19.2326	
C1_10920W_A	orf19.2325	
C1_10930C_A	orf19.2324	UBA4
C1_10940C_A	orf19.2322.3	ERP5
C1_10950C_A	orf19.2320	
C1_10960W_A	orf19.2318.1	
C1_10970W_A	orf19.2319	
C1_10980W_A	orf19.2317	
C1_10990C_A	orf19.2315	RTG3
C1_11000C_A	orf19.2314	
C1_11010C_A	orf19.2313	
C1_11020W_A	orf19.2312	
C1_11030W_A	orf19.2311	RPL82
C1_11040W_A	orf19.2310.1	RPL29
C1_11050W_A	orf19.2310	
C1_11060C_A	orf19.2309.2	RPL2
C1_11070W_A	orf19.2309	PET127
C1_11080W_A	orf19.2308	
C1_11090C_A	orf19.2307	
C1_11100W_A	orf19.2306	
C1_11110C_A	orf19.2305	
C1_11120C_A	orf19.2304	
C1_11130W_A	orf19.2303	FGR16
C1_11140W_A	orf19.2302	
C1_11150W_A	orf19.2301	
C1_11160C_A	orf19.2299	
C1_11170W_A	orf19.2298	WBP1
C1_11180C_A	snR64	
C1_11190W_A	orf19.2297	ARL3
C1_11200W_A	orf19.2296	
C1_11210C_A	orf19.681	HAP43
C1_11220C_A	orf19.680	TIM50
C1_11230W_A	orf19.679	FGR39
C1_11240C_A	orf19.677	CHO1
C1_11250W_A	orf19.676	
C1_11260C_A	orf19.675.1	
C1_11270W_A	orf19.675	
C1_11280W_A	orf19.674	
C1_11290W_A	orf19.673	
C1_11300C_A	orf19.672	
C1_11310C_A	orf19.671	PSP1
C1_11320C_A	orf19.670.2	
C1_11330C_A	orf19.670	SMT3
C1_11340W_A	orf19.669	PRM1
C1_11350C_A	orf19.668	TOS4
C1_11360W_A	orf19.667.1	RPL37B
C1_11370C_A	orf19.666	
C1_11380W_A	orf19.665	NEP1
C1_11390W_A	orf19.664	
C1_11400C_A	orf19.663	GIN4
C1_11410C_A	orf19.8278	
C1_11420W_A	orf19.661	KRR1
C1_11430W_A	orf19.660	
C1_11440C_A	orf19.658	GIN1
C1_11450C_A	orf19.657	SAM2
C1_11470C_A	orf19.656	DPP1
C1_11480W_A	orf19.655	PHO84
C1_11490C_A	orf19.1171	BTA1
C1_11500C_A	orf19.1170	ARO7
C1_11510C_A	orf19.1169	
C1_11520C_A	orf19.1168	ZCF3
C1_11530C_A	orf19.1167	
C1_11540C_A	orf19.1166	CTA3
C1_11550W_A	orf19.1164	GAR1
C1_11560C_A	orf19.1163	
C1_11570W_A	orf19.1162.1	
C1_11580W_A	orf19.1162	
C1_11590W_A	orf19.1161	PLD1
C1_11600W_A	orf19.1160	
C1_11610C_A	orf19.1159	
C1_11620W_A	orf19.1158	
C1_11630C_A	orf19.1156	FUS1
C1_11640C_A	orf19.1155	DPP2
C1_11650W_A	orf19.1154	EGD1
C1_11660W_A	orf19.1153	GAD1
C1_11670W_A	orf19.1152	
C1_11680C_A	orf19.1150.1	
C1_11690W_A	orf19.1150	
C1_11700C_A	orf19.1149	MRF1
C1_11710C_A	orf19.1148	
C1_11720W_A	orf19.1146	
C1_11730W_A	orf19.1144	
C1_11740W_A	orf19.1143	
C1_11750W_A	orf19.1142	AVT4
C1_11760C_A	orf19.1140	
C1_11770C_A	orf19.1139	
C1_11780W_A	snR8a	
C1_11790W_A	orf19.1137	
C1_11800C_A	orf19.1136	
C1_11810W_A	orf19.1135	CAS1
C1_11820W_A	tY(GUA)1	tY(GUA)1
C1_11830W_A	tY(GUA)4	tY(GUA)4
C1_11850W_A	orf19.5282	
C1_11860W_A	orf19.5281	
C1_11870W_A	orf19.5280	MUP1
C1_11880W_A	orf19.5279	
C1_11890W_A	orf19.5278	
C1_11900C_A	orf19.5277	
C1_11910W_A	orf19.5276	
C1_11920W_A	orf19.5275	
C1_11930W_A	orf19.5274	
C1_11940C_A	orf19.5271	
C1_11950W_A	orf19.5270	
C1_11960C_A	orf19.5269.1	
C1_11970C_A	orf19.5269	
C1_11980W_A	orf19.5268	MED10
C1_11990W_A	orf19.5267	
C1_12000C_A	orf19.5266	
C1_12010C_A	orf19.5265	KIP4
C1_12020W_A	orf19.5264	
C1_12030W_A	orf19.5263	SER33
C1_12040W_A	orf19.5262	
C1_12050W_A	orf19.5260	RPN2
C1_12060C_A	orf19.5259	
C1_12070C_A	orf19.5258	
C1_12080W_A	orf19.5257	LCB4
C1_12090C_A	orf19.5256	
C1_12100C_A	orf19.5255	PXA2
C1_12110C_A	orf19.5254	
C1_12120W_A	orf19.5253	
C1_12130C_A	orf19.5251	ZCF30
C1_12140W_A	orf19.5250	
C1_12150C_A	orf19.5249	
C1_12160W_A	orf19.5248	MSO1
C1_12170C_A	orf19.5247	
C1_12180C_A	orf19.5246	
C1_12190W_A	orf19.5245	BUL4
C1_12200W_A	orf19.5244	MCD4
C1_12210W_A	orf19.5243	TRP3
C1_12220W_A	orf19.5242	CDC6
C1_12230W_A	orf19.5241	SNT1
C1_12240C_A	orf19.5239	
C1_12250C_A	orf19.5238	
C1_12260W_A	orf19.5237	VPH2
C1_12270W_A	orf19.5236	SRT1
C1_12280C_A	orf19.5235	
C1_12290C_A	orf19.5234	RBD1
C1_12300W_A	orf19.5233	
C1_12310C_A	orf19.5232	CSI2
C1_12320C_A	orf19.5231.2	ATP19
C1_12330W_A	orf19.5231	
C1_12340C_A	orf19.5230	MRPS9
C1_12350W_A	orf19.5229	
C1_12360C_A	orf19.5228	RIB3
C1_12370W_A	orf19.5227	
C1_12380C_A	orf19.5226	WRS1
C1_12390C_A	orf19.5225.2	RPL27A
C1_12400C_A	orf19.5225	
C1_12410C_A	orf19.5224	PKH2
C1_12420C_A	orf19.5223	
C1_12430W_A	orf19.5221	
C1_12440W_A	orf19.5220	
C1_12450C_A	orf19.5219	IRA2
C1_12460C_A	orf19.69.2	
C1_12470W_A	orf19.69	
C1_12480W_A	orf19.68.2	
C1_12490W_A	orf19.3767	PEP1
C1_12500C_A	tW(CCA)1	tW(CCA)1
C1_12510W_A	orf19.3765	RAX2
C1_12520W_A	orf19.3764	GSG1
C1_12530C_A	orf19.3763	
C1_12540W_A	orf19.3762	
C1_12550C_A	orf19.3761	CDC54
C1_12560C_A	orf19.3760	DLH1
C1_12570C_A	orf19.3759	
C1_12580W_A	orf19.3758	
C1_12590W_A	orf19.3757	ATP20
C1_12600C_A	orf19.3756	CHR1
C1_12610W_A	orf19.3755	
C1_12620W_A	orf19.6362	SPA2
C1_12630C_A	orf19.6360	
C1_12640W_A	orf19.6359	
C1_12650C_A	orf19.6358	
C1_12660W_A	orf19.6357	
C1_12670C_A	orf19.6356	
C1_12680W_A	orf19.6355	
C1_12690C_A	orf19.6354	
C1_12700W_A	orf19.6353	
C1_12710C_A	orf19.6351	
C1_12720C_A	orf19.6350	
C1_12730W_A	orf19.6349	RVS162
C1_12740W_A	orf19.6348	
C1_12750C_A	orf19.6347	
C1_12760W_A	orf19.6346	
C1_12770W_A	orf19.6345	RPG1A
C1_12780W_A	orf19.6344	RBK1
C1_12790C_A	orf19.6343	FEN1
C1_12800W_A	orf19.6342	
C1_12810W_A	orf19.6341	
C1_12820C_A	orf19.6340	
C1_12830C_A	orf19.4913	
C1_12840W_A	orf19.4914	
C1_12850W_A	orf19.4914.1	BLP1
C1_12860C_A	orf19.4916	
C1_12870C_A	orf19.4917	
C1_12880C_A	orf19.4918	
C1_12890W_A	orf19.4919	
C1_12900W_A	orf19.4921	
C1_12910W_A	orf19.4921.1	
C1_12920C_A	orf19.4922	
C1_12930C_A	orf19.4923	
C1_12940C_A	orf19.4923.1	
C1_12950W_A	orf19.4924	
C1_12960C_A	orf19.4927	BNI1
C1_12970C_A	orf19.4928	SEC2
C1_12980W_A	snR41b	
C1_12990W_A	snR41	
C1_13000W_A	snR70	
C1_13010W_A	orf19.4929	
C1_13020C_A	orf19.4930	SPC3
C1_13030C_A	orf19.4931	
C1_13040C_A	snR87	
C1_13050W_A	orf19.4931.1	RPL14
C1_13060C_A	orf19.4932	
C1_13070C_A	orf19.4933	FAD3
C1_13080W_A	orf19.4934	OP4
C1_13090W_A	orf19.4936	
C1_13100W_A	orf19.4936.1	
C1_13110C_A	orf19.4937	CHS3
C1_13120C_A	orf19.4939	MON2
C1_13130C_A	orf19.4940	
C1_13140C_A	orf19.4941	TYE7
C1_13150W_A	orf19.4942	
C1_13160W_A	orf19.4943	PSA2
C1_13170C_A	orf19.4945	MSH6
C1_13180W_A	orf19.4946	
C1_13190W_A	orf19.4947	
C1_13200C_A	orf19.4948	REX3
C1_13210C_A	orf19.4949	
C1_13220C_A	orf19.4950	AKR1
C1_13240W_A	orf19.4951	
C1_13250W_A	orf19.4952	
C1_13260W_A	orf19.4952.1	
C1_13270W_A	orf19.4953	
C1_13280C_A	orf19.4954	
C1_13290W_A	orf19.4955	
C1_13300C_A	orf19.4956	RPN1
C1_13310W_A	orf19.4958	ECM25
C1_13320C_A	orf19.4959	
C1_13330C_A	orf19.4960	
C1_13350W_A	orf19.4961	STP2
C1_13360C_A	orf19.4962	RMP1
C1_13370W_A	orf19.4963	
C1_13380W_A	orf19.4964	
C1_13390W_A	orf19.4965	
C1_13400C_A	orf19.4966	AGC1
C1_13410W_A	orf19.4967	COX19
C1_13420C_A	orf19.4969	KEM1
C1_13430C_A	orf19.4970	
C1_13440C_A	orf19.4972	OFI1
C1_13450W_A	orf19.4975	HYR1
C1_13460W_A	orf19.4976	
C1_13470W_A	orf19.4979	KNS1
C1_13480W_A	orf19.4980	HSP70
C1_13490C_A	orf19.4981	
C1_13500C_A	snR3a	
C1_13510C_A	orf19.4982	TGL99
C1_13520C_A	orf19.4983	MCU1
C1_13540W_A	orf19.4985	GUP1
C1_13550C_A	orf19.4987	NUP49
C1_13560W_A	orf19.4988	
C1_13570W_A	orf19.4991	MPT5
C1_13580W_A	orf19.4993	SEC18
C1_13590W_A	orf19.4995	
C1_13600W_A	orf19.4996	
C1_13610C_A	orf19.4997	KIS2
C1_13620W_A	orf19.4998	ROB1
C1_13630W_A	orf19.5000	CYB2
C1_13640W_A	orf19.5001	CUP2
C1_13650C_A	orf19.5003	
C1_13660W_A	orf19.5004	RAD54
C1_13670W_A	orf19.5005	OSM2
C1_13680C_A	orf19.5006	GCV3
C1_13690C_A	orf19.5006.1	
C1_13700W_A	orf19.5007	ACT1
C1_13710C_A	orf19.5008.1	DAD1
C1_13720W_A	orf19.5009	
C1_13730C_A	orf19.5010	DIM1
C1_13740W_A	orf19.5011	KAR9
C1_13750C_A	orf19.5012	
C1_13760W_A	orf19.5013	AGM1
C1_13770C_A	orf19.5014	
C1_13780W_A	orf19.5015	MYO2
C1_13790C_A	orf19.5016	
C1_13800C_A	orf19.5017	DUR32
C1_13810W_A	orf19.5019	
C1_13820C_A	orf19.5020	
C1_13830C_A	orf19.5021	PDX1
C1_13840W_A	orf19.5022	
C1_13850C_A	orf19.5023	DAL7
C1_13860C_A	orf19.5024	GND1
C1_13870W_A	orf19.5025	MET3
C1_13880C_A	orf19.5026	
C1_13890C_A	tA(AGC)7	tA(AGC)7
C1_13900C_A	orf19.5027	LCB2
C1_13910C_A	orf19.5029	MODF
C1_13920W_A	orf19.5030	DOS2
C1_13930W_A	orf19.5031	SSK1
C1_13940W_A	orf19.5032	SIM1
C1_13950C_A	orf19.5033	
C1_13960W_A	orf19.5034	YBP1
C1_13970C_A	orf19.5035	HPC2
C1_13980C_A	orf19.7205	DUR7
C1_13990W_A	orf19.7206	OCA6
C1_14000C_A	orf19.7207	DOA4
C1_14010W_A	orf19.7208	CSK1
C1_14020W_A	orf19.7209	
C1_14030W_A	orf19.7210	
C1_14040W_A	orf19.7212	APL1
C1_14050C_A	orf19.7213	
C1_14060W_A	orf19.7214	
C1_14080W_A	orf19.7215	
C1_14090W_A	orf19.7215.3	
C1_14100W_A	orf19.7216	YPT52
C1_14110C_A	orf19.7217	RPL4B
C1_14120C_A	orf19.7218	RBE1
C1_14130W_A	orf19.7219	FTR1
C1_14140C_A	orf19.7221	SET3
C1_14150C_A	orf19.7222	PAM16
C1_14160W_A	orf19.7223	
C1_14170W_A	orf19.7224	
C1_14180W_A	orf19.7225	
C1_14190C_A	orf19.7227	
C1_14200W_A	orf19.7228	
C1_14210C_A	orf19.7229	IML2
C1_14220C_A	orf19.7231	FTR2
C1_14230C_A	orf19.7232	IRR1
C1_14240W_A	orf19.7234	
C1_14250C_A	orf19.7235	
C1_14260C_A	orf19.7236	TIF35
C1_14270W_A	orf19.7237	
C1_14280C_A	orf19.7238	NPL3
C1_14290C_A	orf19.7239	MDG1
C1_14300C_A	orf19.7242	NCR1
C1_14310W_A	orf19.7243	
C1_14320C_A	orf19.7244	
C1_14330W_A	orf19.7245	
C1_14340C_A	orf19.7247	RIM101
C1_14350W_A	orf19.7250	
C1_14360C_A	orf19.7251	WSC4
C1_14370W_A	orf19.7252	
C1_14380C_A	orf19.7254	
C1_14390W_A	orf19.7255	RPC10
C1_14400C_A	orf19.7257	MLH3
C1_14410W_A	orf19.7256	
C1_14420W_A	orf19.7258	DDI1
C1_14430C_A	orf19.7260	
C1_14440C_A	orf19.7261	GDI1
C1_14450C_A	orf19.7263	
C1_14460W_A	orf19.7264	
C1_14470W_A	orf19.7265	
C1_14480W_A	orf19.7266	
C1_14490C_A	orf19.7267	SAM35
C1_14500C_A	orf19.7269	
C1_14520W_A	orf19.7270	
C1_14530W_A	orf19.7271	
C1_14550C_A	orf19.7272	
C1_14560C_A	orf19.7274	
C1_14570C_A	orf19.7275	FGR24
C1_14580C_A	orf19.7277	
C1_14590C_A	orf19.7276.1	TLO4
C1_14630C_A	orf19.7278	
C2_00010W_A	orf19.1925	TLO5
C2_00030W_A	orf19.1923	RRN3
C2_00040C_A	tV(CAC)1	tV(CAC)1
C2_00050C_A	orf19.1920	
C2_00060C_A	orf19.1917	
C2_00070C_A	orf19.1915	MPP10
C2_00080C_A	orf19.1914	FAV3
C2_00090W_A	orf19.1913	
C2_00100C_A	orf19.1911	PGA52
C2_00110W_A	orf19.1910	
C2_00120C_A	orf19.1907	EMC9
C2_00130W_A	orf19.1906	
C2_00140W_A	orf19.2119	NDT80
C2_00150W_A	orf19.2117	LEU5
C2_00160C_A	orf19.2116	NAT2
C2_00170C_A	orf19.2115	HMA1
C2_00180C_A	orf19.2114	
C2_00190C_A	orf19.2113	
C2_00200W_A	orf19.2112	
C2_00210W_A	orf19.2111.2	RPL38
C2_00220C_A	orf19.2111	
C2_00230W_A	orf19.2110	
C2_00240C_A	orf19.2108	SOD6
C2_00250W_A	orf19.2107.1	STF2
C2_00260C_A	orf19.2107	MUQ1
C2_00270C_A	orf19.2106	
C2_00280C_A	orf19.2105	
C2_00290W_A	orf19.2104	
C2_00300C_A	orf19.2102	CKB1
C2_00310W_A	orf19.2103	
C2_00320W_A	orf19.2101	
C2_00330C_A	orf19.2099	HIR1
C2_00340C_A	orf19.2098	ARO8
C2_00350W_A	orf19.2097	
C2_00360C_A	orf19.2095	
C2_00370W_A	orf19.2094	PDR6
C2_00380C_A	orf19.2093	RFA1
C2_00390C_A	orf19.2092	
C2_00400C_A	orf19.2091	
C2_00410C_A	orf19.2090	
C2_00420W_A	orf19.2089	
C2_00430C_A	orf19.2088	DPB4
